Data_Status,State,MSN,variable,value,Description,Unit,Code12,Energy Type,Code34,Sector
2017F,IA,TPOPP,1974,2868.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,ID,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,ID,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,ID,TPOPP,1974,808.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,IL,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,IL,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,IL,TPOPP,1974,11262.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,IN,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,IN,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,IN,TPOPP,1974,5362.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,KS,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,KS,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,KS,TPOPP,1974,2269.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,KY,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,KY,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,KY,TPOPP,1974,3416.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,LA,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,LA,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,LA,TPOPP,1974,3820.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MA,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MA,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MA,TPOPP,1974,5774.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MD,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MD,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MD,TPOPP,1974,4119.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,ME,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,ME,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,ME,TPOPP,1974,1059.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MI,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MI,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MI,TPOPP,1974,9118.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MN,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MN,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MN,TPOPP,1974,3904.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MO,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MO,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MO,TPOPP,1974,4796.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MS,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MS,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MS,TPOPP,1974,2378.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MT,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MT,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MT,TPOPP,1974,736.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NC,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NC,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NC,TPOPP,1974,5471.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,ND,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,ND,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,ND,TPOPP,1974,635.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NE,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NE,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NE,TPOPP,1974,1539.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NH,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NH,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NH,TPOPP,1974,816.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NJ,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NJ,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NJ,TPOPP,1974,7332.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NM,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NM,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NM,TPOPP,1974,1131.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NV,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NV,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NV,TPOPP,1974,597.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NY,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NY,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NY,TPOPP,1974,18050.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,OH,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,OH,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,OH,TPOPP,1974,10766.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,OK,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,OK,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,OK,TPOPP,1974,2735.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,OR,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,OR,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,OR,TPOPP,1974,2285.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,PA,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,PA,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,PA,TPOPP,1974,11871.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,RI,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,RI,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,RI,TPOPP,1974,951.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,SC,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,SC,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,SC,TPOPP,1974,2845.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,SD,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,SD,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,SD,TPOPP,1974,680.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,TN,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,TN,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,TN,TPOPP,1974,4214.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,TX,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,TX,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,TX,TPOPP,1974,12269.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,US,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,US,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,US,TPOPP,1974,213854.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,UT,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,UT,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,UT,TPOPP,1974,1200.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,VA,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,VA,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,VA,TPOPP,1974,4971.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,VT,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,VT,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,VT,TPOPP,1974,473.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,WA,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,WA,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,WA,TPOPP,1974,3550.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,WI,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,WI,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,WI,TPOPP,1974,4546.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,WV,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,WV,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,WV,TPOPP,1974,1815.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,WY,GDPRX,1974,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,WY,TETGR,1974,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,WY,TPOPP,1974,366.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,AK,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,AK,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,AK,TPOPP,1975,376.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,AL,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,AL,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,AL,TPOPP,1975,3679.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,AR,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,AR,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,AR,TPOPP,1975,2160.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,AZ,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,AZ,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,AZ,TPOPP,1975,2285.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,CA,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,CA,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,CA,TPOPP,1975,21538.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,CO,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,CO,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,CO,TPOPP,1975,2586.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,CT,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,CT,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,CT,TPOPP,1975,3082.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,DC,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,DC,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,DC,TPOPP,1975,707.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,DE,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,DE,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,DE,TPOPP,1975,587.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,FL,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,FL,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,FL,TPOPP,1975,8518.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,GA,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,GA,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,GA,TPOPP,1975,5064.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,HI,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,HI,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,HI,TPOPP,1975,886.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,IA,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,IA,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,IA,TPOPP,1975,2881.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,ID,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,ID,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,ID,TPOPP,1975,832.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,IL,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,IL,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,IL,TPOPP,1975,11292.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,IN,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,IN,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,IN,TPOPP,1975,5366.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,KS,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,KS,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,KS,TPOPP,1975,2281.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,KY,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,KY,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,KY,TPOPP,1975,3468.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,LA,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,LA,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,LA,TPOPP,1975,3886.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MA,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MA,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MA,TPOPP,1975,5758.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MD,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MD,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MD,TPOPP,1975,4139.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,ME,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,ME,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,ME,TPOPP,1975,1072.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MI,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MI,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MI,TPOPP,1975,9118.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MN,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MN,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MN,TPOPP,1975,3933.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MO,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MO,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MO,TPOPP,1975,4808.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MS,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MS,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MS,TPOPP,1975,2399.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,MT,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,MT,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,MT,TPOPP,1975,748.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NC,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NC,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NC,TPOPP,1975,5547.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,ND,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,ND,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,ND,TPOPP,1975,639.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NE,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NE,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NE,TPOPP,1975,1543.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NH,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NH,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NH,TPOPP,1975,829.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NJ,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NJ,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NJ,TPOPP,1975,7338.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NM,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NM,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NM,TPOPP,1975,1160.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NV,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NV,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NV,TPOPP,1975,620.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,NY,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,NY,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,NY,TPOPP,1975,18003.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,OH,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,OH,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,OH,TPOPP,1975,10770.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,OK,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,OK,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,OK,TPOPP,1975,2775.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,OR,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,OR,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,OR,TPOPP,1975,2330.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,PA,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,PA,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,PA,TPOPP,1975,11906.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,RI,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,RI,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,RI,TPOPP,1975,943.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,SC,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,SC,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,SC,TPOPP,1975,2902.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,SD,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,SD,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,SD,TPOPP,1975,681.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,TN,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,TN,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,TN,TPOPP,1975,4276.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,TX,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,TX,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,TX,TPOPP,1975,12569.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,US,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,US,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,US,TPOPP,1975,215973.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,UT,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,UT,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,UT,TPOPP,1975,1236.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,VA,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,VA,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,VA,TPOPP,1975,5047.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,VT,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,VT,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,VT,TPOPP,1975,480.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,WA,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,WA,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
2017F,WA,TPOPP,1975,3621.0,Resident population including Armed Forces,Thousand,TP,,OP,
2017F,WI,GDPRX,1975,,Real gross domestic product,Million chained (2012) dollars,GD,,PR,
2017F,WI,TETGR,1975,,Total energy consumed per dollar of real gross domestic product,Thousand Btu per chained (2012) dollar,TE,total energy,TG,
